Title,Company,Location,JobDescription
Marketing Specialist,Chemonics International,"Yerevan, Armenia","Marketing Specialist will work with American and
Armenian team on USAID project which seeks to stimulate job creation,
improve competitiveness, and enhance enterprise development. Specialist
will work with Armenian enterprises in several sectors to identify
demand for goods and services produced, and identify any constraints to
increased demand. Marketing Specialist will foster linkages among
producers to expand distribution networks and promote greater awareness
of Armenian products in the world market."
Tourism Specialist,Chemonics International,"Yerevan, Armenia","Tourism Specialist will work with American and
Armenian team on USAID project which seeks to stimulate job creation,
improve competitiveness, and enhance enterprise development. Specialist
will liaise with tour operators, associations and organizations in
Armenia to determine demand for tourism services and work with tour
operators to design new products and services to encourage growth of
firms in the tourism sector."
IATP Country Coordinator,IREX Armenia,"Yerevan, Armenia","- Manage the technical, programmatic, and financial aspects and
supervise program staff;
- Maintain regular contact with the US Embassy and US State Department
officials;
- Network and collaborate with government institutions and NGOs
administering relevant programs locally and regionally;
- Assist IATP partner institutions in developing appropriate
sustainability plans;
- Develop and implement program outreach and publicity to targeted
audiences, specifically USG alumni;
- Produce monthly activity and expense reports;
- Collect and systematize IATP user information, special events, success
stories, and other statistics as requested by IREX;
- Ensure that the IATP website provides accurate, comprehensive, and
up-to-date information on IATP, local resources, and US and European
academic and professional links;
- Conduct focus groups and assessments among USG alumni and other
targeted groups to determine training and Internet development needs;
- Attend IATP trainer conferences and participate in electronic mailing
lists and other meetings as requested by IREX;
- Assist with mid- and final program evaluations;
- Other duties as assigned."
Web Designer,"""Matit""  Graphic Design Studio","Yerevan,  Armenia",Technical design.
Current Challenges Facing Armenia in its Position in the,Caucasus Research Resource Centers-Armenia,"52 Abovyan Str., 3-rd floor, room 305, Yerevan, Armenia
DETAIL DESCRIPTION:  The lecture will be focused on geopolitical issues
in the region (Armenia, Georgia, Azerbaijan, Turkey and Iran).",NA
E-commerce basics,Caucasus Research Resource Centers-Armenia,"52 Abovyan Str., 3-rd floor, room 305, Yerevan, Armenia
DETAIL DESCRIPTION:  Different aspects of e-commerce will be discussed
during the lecture.",NA
Office Manager,AAFPC,"Armavir Marz , village Merdzavan, Armenia",N/A
Biochemist,Firmplace Corporation,"Yerevan, Armenia","We are seeking highly motivated individuals to be part
of a biochemistry core group that will assist in the development of
biochemical assays for drug screening."
Staff Administrator,Yerevan Brandy Company CJSC,"Yerevan, Armenia",N/A
Internship Programme,The Regional Environmental Centre for the Caucasus,"Tbilisi, Georgia - Yerevan, Armenia","Objective: The Regional Environmental Centre for the
Caucasus Internship Programme offers an opportunity to the last year
undergraduate students and graduates from relevant academics departments
from Armenia, Azerbaijan and Georgia to acquire basic knowledge of
environmental issues, office and project management skills through a two
week competitive training scheme, as well as specific work experience. 
Scope:	Internship Programme consists of two stage competitive training
courses including: 2 week general capacity building training in Tbilisi.
Participants in the training will undergo a test, and selection will be
made from among the winners to fill the vacancies of interns in the
on-the-job training course at the REC Caucasus office."
Commercial Director,General Transworld Manufacturing Company (GTMC) CJSC,"Yerevan, Armenia","Commercial Director performs duties and activities to
conduct business activities which are emphasized in but not limited to
international and domestic trade and purchase, i.e. commercialization of
the production, marketing, product planning and promotion, procurement."
Credit Club Program Specialist (2 positions),Center for Agribusiness and Rural Development (CARD),"Yerevan,  Armenia","Under the direct supervision of CARDs Credit Manager,
the Credit Club Program Specialist is responsible for creating and
implementing group lending projects, providing timely technical
assistance for establishing effective rural credit program. This
position is located in CARDs Credit Department."
Network Administrator,Xalt LLC,"Yerevan,  Armenia","Xalt LLC is seeking a motivated night-time Network
Administrator.
The incumbent will work in group of three network administrators by
shifts defined by management."
Credit Specialist (2 position),Center for Agribusiness and Rural Development (CARD),"Yerevan, Armenia","Under the direct supervision of CARDs Credit Manager,
the Credit Specialist is responsible for developing and implementing
various loan projects to support agribusinesses and food processors.
This position is located in CARDs Credit Department."
Food and Beverage Supervisor,Armenia Marriott Hotel Yerevan,"Yerevan, Armenia","The F&B Supervisors main function is to promote and
ensure guest satisfaction, achieved through his/her ability to develop
and maintain a strong team environment, placing emphasis on associate
satisfaction and delivery of prompt, courteous, correct service. The F&B
Supervisor is accountable for sales and profit in his/her area.
Work schedule is 40hrs/week, 3 shifts, flexible."
Budget Reforms in Armenia: Progress to Date and Challenges,"Caucasus Research Resource Centers-Armenia, a Program of the Eurasia
Foundation","Yerevan,  Armenia
DETAIL DESCRIPTION:  The lecture includes the following topics: The
need for budget reforms in Armenia"" (Ms. Kathryn Ennis) and The
progress of budget reforms up to date and challenges"" (Mr. Suren
Poghosyan).",NA
Principal Specialist,Converse Bank,"Yerevan, Armenia","The Principal Specialist will work in Reports and
Analysis Department."
